name,distance,planet_type,orbital_radius,orbital_period,hostname,mass,esi,st_temp,st_radius,st_mass
Kepler-168 c,4383.0,Neptune-like,0.116,0.03613963,Kepler-168,7.7,0.22974344,5790.5,1.435278,0.9393564616929898
Kepler-1690 b,2296.0,Neptune-like,0.7097,0.64229983,Kepler-1690,8.3,0.66103435,5735.0,0.831,0.882
Kepler-1691 b,4135.0,Super Earth,0.0495,0.010403832,Kepler-1691,4.02,0.2650781,6084.0,1.068,0.9393564616929898
Kepler-1692 b,1928.0,Super Earth,0.0646,0.016427105,Kepler-1692,1.42,0.30421807,5452.0,0.9,1.012
Kepler-1693 b,2479.0,Super Earth,0.1011,0.033127997,Kepler-1693,2.21,0.310571,5432.34,0.878295,0.95
Kepler-1693 c,2479.0,Terrestrial,0.0588,0.014784395,Kepler-1693,0.894,0.30087632,5432.34,0.878295,0.95
Kepler-1694 b,1674.0,Super Earth,0.0449,0.010677618,Kepler-1694,1.76,0.29957983,5018.0,0.838,0.795
Kepler-1695 b,2581.0,Super Earth,0.0529,0.012867898,Kepler-1695,1.46,0.29678168,5595.0,0.796,0.89
Kepler-1696 b,4914.0,Neptune-like,0.3244,0.18042438,Kepler-1696,8.29,0.30649676,5982.0,0.96,1.047
Kepler-1697 b,808.0,Super Earth,0.2008,0.091718,Kepler-1697,2.12,0.47752012,4681.53,0.772344,0.747
Kepler-1698 b,725.0,Super Earth,0.0203,0.003285421,Kepler-1698,1.25,0.29437205,5019.0,0.747,0.717
Kepler-1699 b,2671.0,Super Earth,0.0418,0.009582478,Kepler-1699,3.08,0.281095,5214.4,1.256862900934236,0.9393564616929898
Kepler-169 b,1326.0,Super Earth,0.04,0.009034907,Kepler-169,1.51,0.29861868,4930.0,0.774293,0.81
Kepler-169 c,1326.0,Super Earth,0.062,0.016974675,Kepler-169,1.92,0.30646133,4930.0,0.774293,0.81
Kepler-169 d,1326.0,Super Earth,0.075,0.022724163,Kepler-169,2.1,0.31288008,4930.0,0.774293,0.81
Kepler-169 e,1326.0,Neptune-like,0.105,0.03778234,Kepler-169,5.48,0.28883167,4930.0,0.774293,0.81
Kepler-169 f,1326.0,Neptune-like,0.359,0.2384668,Kepler-169,7.18,0.56690799,4930.0,0.774293,0.81
Kepler-16 b,245.0,Gas Giant,0.7048,0.62642026,Kepler-16,105.833,0.30040118,4452.0,0.623,0.63
Kepler-1700 b,2341.0,Neptune-like,0.7576,0.64120466,Kepler-1700,8.76,0.54235514,6299.0,1.167,1.249
Kepler-1701 b,1905.0,Neptune-like,0.5608,0.46297058,Kepler-1701,5.57,0.70536871,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1702 b,2796.0,Super Earth,0.1275,0.05065024,Kepler-1702,3.2,0.3408124,5093.0,0.725742,0.85
Kepler-1704 b,2725.0,Gas Giant,2.027,2.7,Kepler-1704,1322.1662,0.37129808,5757.0,1.52,0.9393564616929898
Kepler-1705 b,5328.0,Neptune-like,0.08,0.024640657,Kepler-1705,4.47,0.25693377,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1705 c,5328.0,Super Earth,6.962942017335215,0.030937715,Kepler-1705,5.42,0.25838466,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1708 b,5437.0,Gas Giant,1.64,2.0,Kepler-1708,1462.0107,0.39812963,6157.0,1.117,1.088
Kepler-1709 b,894.0,Neptune-like,0.3192,0.17987679,Kepler-1709,9.93,0.29422699,5952.0,0.971,1.057
Kepler-170 b,2409.0,Gas Giant,0.08,0.02162902,Kepler-170,82.6,0.2107796,5655.0,0.99,1.081
Kepler-170 c,2409.0,Neptune-like,0.131,0.045722112,Kepler-170,8.55,0.23933216,5655.0,0.99,1.081
Kepler-1710 b,996.0,Neptune-like,0.1159,0.040793974,Kepler-1710,3.49494,0.22469189,5653.0,0.857,0.952
Kepler-1711 b,1925.0,Super Earth,0.1463,0.057768654,Kepler-1711,4.36,0.28605364,5758.0,1.06,0.9393564616929898
Kepler-1712 b,510.0,Neptune-like,0.0903,0.03778234,Kepler-1712,5.83,0.38258046,3741.0,0.49,0.51
Kepler-1713 b,963.0,Super Earth,0.1469,0.049281314,Kepler-1713,3.59,0.2782512,6258.0,1.581,0.9393564616929898
Kepler-1714 b,1336.0,Neptune-like,0.1047,0.028199865,Kepler-1714,10.7,0.20177569,6088.0,1.95,1.41
Kepler-1715 b,1705.0,Neptune-like,0.2178,0.09746748,Kepler-1715,16.0,0.19280711,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1716 b,638.0,Neptune-like,0.1916,0.09746748,Kepler-1716,6.46,0.40436966,4789.0,0.649,0.701
Kepler-1717 b,3291.0,Neptune-like,0.2014,0.08405202,Kepler-1717,9.21,0.22280936,6823.0,1.377,1.319
Kepler-1718 b,1225.0,Neptune-like,0.4878,0.37015742,Kepler-1718,7.12,0.48190252,5731.0,0.906,0.846
Kepler-1719 b,2953.0,Neptune-like,0.0674,0.01670089,Kepler-1719,14.8,0.17848611,5707.0,1.58,0.9393564616929898
Kepler-171 b,2818.0,Neptune-like,0.05,0.011498973,Kepler-171,6.08,0.24203031,5641.0,0.831,0.908
Kepler-171 c,2818.0,Neptune-like,0.098,0.031485286,Kepler-171,7.08,0.24270718,5641.0,0.831,0.908
Kepler-171 d,2818.0,Super Earth,0.223,0.10841889,Kepler-171,4.23,0.33579173,5641.0,0.831,0.908
Kepler-1720 b,2053.0,Neptune-like,0.1043,0.034770705,Kepler-1720,10.4,0.229856,5379.0,0.81,0.9393564616929898
Kepler-1721 b,2092.0,Neptune-like,0.0519,0.012594113,Kepler-1721,9.9,0.21338564,5361.0,0.799,0.889
Kepler-1722 b,2519.0,Neptune-like,0.0819,0.025188226,Kepler-1722,8.58,0.22728089,5500.0,0.795,0.859
Kepler-1723 b,2646.0,Neptune-like,0.2249,0.10896646,Kepler-1723,8.65,0.27060465,5810.0,0.96,0.9393564616929898
Kepler-1724 b,3460.0,Neptune-like,0.0683,0.01779603,Kepler-1724,8.43,0.22124943,6092.0,0.943,1.016
Kepler-1725 b,1822.0,Neptune-like,0.1302,0.045722112,Kepler-1725,8.31,0.23055147,6129.0,1.13,0.9393564616929898
Kepler-1726 b,1274.0,Neptune-like,0.1306,0.050376453,Kepler-1726,6.84,0.27991062,5444.0,0.88,0.834
Kepler-1727 b,2917.0,Neptune-like,0.0796,0.024640657,Kepler-1727,10.2,0.21674152,5136.0,0.874,0.9393564616929898
Kepler-1728 b,2126.0,Neptune-like,0.0535,0.013141684,Kepler-1728,9.04,0.22059456,5073.0,0.74,0.748
Kepler-1729 b,1880.0,Neptune-like,0.0418,0.011498973,Kepler-1729,14.4,0.18820487,4198.0,0.47,0.9393564616929898
Kepler-172 b,2703.0,Neptune-like,0.04,0.007939767,Kepler-172,6.12,0.23989105,5540.0,0.97,0.85
Kepler-172 c,2703.0,Neptune-like,0.068,0.017522246,Kepler-172,8.55,0.22138567,5540.0,0.97,0.85
Kepler-172 d,2703.0,Neptune-like,0.118,0.039972622,Kepler-172,5.69,0.26184967,5540.0,0.97,0.85
Kepler-172 e,2703.0,Neptune-like,0.211,0.09609856,Kepler-172,8.05,0.27731895,5540.0,0.97,0.85
Kepler-1730 b,4655.0,Neptune-like,0.1131,0.03778234,Kepler-1730,18.4,0.17490767,5942.0,1.142,1.009
Kepler-1731 b,554.0,Neptune-like,0.1401,0.059685145,Kepler-1731,8.92,0.30262703,4919.0,0.72,0.723
Kepler-1732 b,4206.0,Neptune-like,0.2015,0.08843258,Kepler-1732,15.7,0.19672469,5739.0,0.987,0.9393564616929898
Kepler-1733 b,6787.0,Neptune-like,0.0933,0.025188226,Kepler-1733,12.8,0.19054178,6363.0,1.035,1.083
Kepler-1734 b,4837.0,Neptune-like,0.0714,0.018617386,Kepler-1734,9.74,0.21054745,6061.0,0.97,1.05
Kepler-1735 b,800.0,Super Earth,0.0621,0.021081451,Kepler-1735,1.84,0.37001232,3978.0,0.55,0.9393564616929898
Kepler-1736 b,4665.0,Neptune-like,0.2188,0.103490755,Kepler-1736,14.3,0.20159205,6099.0,1.01,1.06
Kepler-1737 b,2167.1687368622206,Neptune-like,0.297,0.17686516,Kepler-1737,25.1,0.3193557,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1738 b,4250.0,Neptune-like,0.0781,0.021081451,Kepler-1738,8.37,0.22434922,6063.0,1.001,1.079
Kepler-1739 b,2556.0,Neptune-like,0.0697,0.019986311,Kepler-1739,6.48,0.24254129,5734.0,0.766,0.84
Kepler-173 b,2718.0,Super Earth,0.048,0.011772759,Kepler-173,2.21,0.28996656,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-173 c,2718.0,Neptune-like,0.074,0.021902807,Kepler-173,6.48,0.23989783,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1740 b,3463.0,Neptune-like,0.0779,0.022450376,Kepler-1740,11.0,0.20625665,5739.0,0.95,1.04
Kepler-1741 b,883.0,Super Earth,0.0296,0.007665982,Kepler-1741,2.16,0.30896084,3842.11,0.53995,0.591
Kepler-1742 b,2184.0,Neptune-like,0.2587,0.13552362,Kepler-1742,5.38,0.36722625,5582.0,0.865348,0.99
Kepler-1743 b,1758.0,Super Earth,0.0822,0.020807665,Kepler-1743,3.18,0.27669634,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1744 b,3561.0,Neptune-like,0.2093,0.10157426,Kepler-1744,13.6,0.24511613,5986.0,0.85,0.886
Kepler-1745 b,3249.0,Super Earth,0.0408,0.008213553,Kepler-1745,4.38,0.26038251,5572.72,1.08087,0.98
Kepler-1746 b,3195.0,Gas Giant,0.9453,0.8793977,Kepler-1746,59.1,0.31179542,6169.0,1.168,1.135
Kepler-1747 b,4310.0,Neptune-like,0.066,0.016974675,Kepler-1747,16.8,0.17628402,5279.0,0.83,0.9393564616929898
Kepler-1748 b,3534.0,Neptune-like,0.0615,0.015879534,Kepler-1748,7.81,0.23203438,5376.0,0.770843,0.93
Kepler-1749 b,875.0,Super Earth,0.0956,0.039698835,Kepler-1749,3.23,0.37692318,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-174 b,1255.0,Super Earth,0.1,0.03832991,Kepler-174,4.5,0.30464796,4724.0,0.774168,0.76
Kepler-174 c,1255.0,Super Earth,0.214,0.120465435,Kepler-174,2.83,0.47958253,4724.0,0.774168,0.76
Kepler-174 d,1255.0,Neptune-like,0.677,0.67734426,Kepler-174,5.43,0.67845615,4724.0,0.774168,0.76
Kepler-1750 b,4884.0,Neptune-like,0.6785,0.56372344,Kepler-1750,30.1,0.41089956,5717.0,0.897,0.85
Kepler-1751 b,4213.0,Super Earth,0.0712,0.019164955,Kepler-1751,3.98,0.26971013,5437.562538702091,1.256862900934236,0.9393564616929898
